area,response,var,label,estimate,ci,pd,ps,bf,ess,rhat
Laboratory and Cellular,Aged B cells,[Age],"$\beta$ = -0.08, CI~95%~[-0.36, 0.23], pd = 71%, ps = 45.7%, BF~10~ = 0.06",-0.08,"[-0.36, 0.23]",0.71,0.457,0.06,10260,1
Laboratory and Cellular,Aged B cells,[Education level: Cubic],"$\beta$ = 0.13, CI~95%~[-2.02, 2.25], pd = 54.7%, ps = 51.2%, BF~10~ = 0.37",0.13,"[-2.02, 2.25]",0.547,0.512,0.37,6717.6,1.001
Laboratory and Cellular,Aged B cells,[Education level: Linear],"$\beta$ = 0.03, CI~95%~[-2.65, 2.68], pd = 50.9%, ps = 48.1%, BF~10~ = 0.45",0.03,"[-2.65, 2.68]",0.509,0.481,0.45,8200.5,1
Laboratory and Cellular,Aged B cells,[Education level: Quadratic],"$\beta$ = 0.09, CI~95%~[-2.32, 2.45], pd = 53%, ps = 49.5%, BF~10~ = 0.4",0.09,"[-2.32, 2.45]",0.53,0.495,0.4,7381,1
Laboratory and Cellular,Aged B cells,[Fatigue scale],"$\beta$ = -0.07, CI~95%~[-0.3, 0.16], pd = 73.2%, ps = 40.6%, BF~10~ = 0.05",-0.07,"[-0.3, 0.16]",0.732,0.406,0.05,16251.9,1
Laboratory and Cellular,Aged B cells,[PCOV NoS],"$\beta$ = 0.38, CI~95%~[-0.62, 1.44], pd = 76.2%, ps = 69.7%, BF~10~ = 0.22",0.38,"[-0.62, 1.44]",0.762,0.697,0.22,7562.9,1.001
Laboratory and Cellular,Aged B cells,[PCOV NoS] x [Age],"$\beta$ = -0.16, CI~95%~[-0.54, 0.27], pd = 78.8%, ps = 62.3%, BF~10~ = 0.1",-0.16,"[-0.54, 0.27]",0.788,0.623,0.1,10013.4,1
Laboratory and Cellular,Aged B cells,[PCOV NoS] x [Education level: Cubic],"$\beta$ = 0.14, CI~95%~[-2.28, 2.55], pd = 54.3%, ps = 51.2%, BF~10~ = 0.42",0.14,"[-2.28, 2.55]",0.543,0.512,0.42,6346.1,1
Laboratory and Cellular,Aged B cells,[PCOV NoS] x [Education level: Linear],"$\beta$ = -0.18, CI~95%~[-3.1, 2.93], pd = 55%, ps = 52%, BF~10~ = 0.51",-0.18,"[-3.1, 2.93]",0.55,0.52,0.51,6086.1,1
Laboratory and Cellular,Aged B cells,[PCOV NoS] x [Education level: Quadratic],"$\beta$ = -0.47, CI~95%~[-3.01, 2.27], pd = 63.6%, ps = 60.6%, BF~10~ = 0.48",-0.47,"[-3.01, 2.27]",0.636,0.606,0.48,5791.8,1
Laboratory and Cellular,Aged B cells,[PCOV NoS] x [Fatigue scale],"$\beta$ = 0.28, CI~95%~[0.02, 0.55], pd = 98.1%, ps = 90.8%, BF~10~ = 0.36",0.28,"[0.02, 0.55]",0.981,0.908,0.36,13198.8,1.001
Laboratory and Cellular,Aged B cells,[PCOV NoS] x [Pathologies: Diabetes (Yes)],"$\beta$ = -0.32, CI~95%~[-1.14, 0.54], pd = 77.3%, ps = 70%, BF~10~ = 0.19",-0.32,"[-1.14, 0.54]",0.773,0.7,0.19,11407.7,1
Laboratory and Cellular,Aged B cells,[PCOV NoS] x [Pathologies: Dyslipidemia (Yes)],"$\beta$ = -0.33, CI~95%~[-1.14, 0.48], pd = 78.4%, ps = 70.7%, BF~10~ = 0.19",-0.33,"[-1.14, 0.48]",0.784,0.707,0.19,11711.1,1
Laboratory and Cellular,Aged B cells,[PCOV NoS] x [Pathologies: Hypertension (Yes)],"$\beta$ = -0.09, CI~95%~[-0.94, 0.77], pd = 58.7%, ps = 49.2%, BF~10~ = 0.15",-0.09,"[-0.94, 0.77]",0.587,0.492,0.15,10748.4,1
Laboratory and Cellular,Aged B cells,[PCOV NoS] x [Pathologies: Obesity (Yes)],"$\beta$ = 0.42, CI~95%~[-0.56, 1.4], pd = 80%, ps = 74.1%, BF~10~ = 0.24",0.42,"[-0.56, 1.4]",0.8,0.741,0.24,11211.8,1
Laboratory and Cellular,Aged B cells,[PCOV NoS] x [Sex: Female],"$\beta$ = -0.19, CI~95%~[-0.84, 0.45], pd = 72.3%, ps = 61.3%, BF~10~ = 0.13",-0.19,"[-0.84, 0.45]",0.723,0.613,0.13,11945.7,1
Laboratory and Cellular,Aged B cells,[PCOV NoV],"$\beta$ = -0.15, CI~95%~[-1.26, 1.04], pd = 59.8%, ps = 53.1%, BF~10~ = 0.2",-0.15,"[-1.26, 1.04]",0.598,0.531,0.2,6814.2,1
Laboratory and Cellular,Aged B cells,[PCOV NoV] x [Age],"$\beta$ = 0.19, CI~95%~[-0.08, 0.46], pd = 91.9%, ps = 74.5%, BF~10~ = 0.12",0.19,"[-0.08, 0.46]",0.919,0.745,0.12,13949.8,1
Laboratory and Cellular,Aged B cells,[PCOV NoV] x [Education level: Cubic],"$\beta$ = -0.06, CI~95%~[-2.33, 2.07], pd = 52%, ps = 48.5%, BF~10~ = 0.38",-0.06,"[-2.33, 2.07]",0.52,0.485,0.38,7749.1,1.001
Laboratory and Cellular,Aged B cells,[PCOV NoV] x [Education level: Linear],"$\beta$ = -0.3, CI~95%~[-2.7, 2.38], pd = 58.6%, ps = 55.5%, BF~10~ = 0.46",-0.3,"[-2.7, 2.38]",0.586,0.555,0.46,7482.6,1
Laboratory and Cellular,Aged B cells,[PCOV NoV] x [Education level: Quadratic],"$\beta$ = 0.55, CI~95%~[-2.29, 3.13], pd = 65.2%, ps = 62.5%, BF~10~ = 0.5",0.55,"[-2.29, 3.13]",0.652,0.625,0.5,8333.2,1
Laboratory and Cellular,Aged B cells,[PCOV NoV] x [Fatigue scale],"$\beta$ = 0.23, CI~95%~[-0.06, 0.5], pd = 94.8%, ps = 82.2%, BF~10~ = 0.18",0.23,"[-0.06, 0.5]",0.948,0.822,0.18,13460.2,1
Laboratory and Cellular,Aged B cells,[PCOV NoV] x [Pathologies: Diabetes (Yes)],"$\beta$ = 0.18, CI~95%~[-0.62, 0.93], pd = 67.7%, ps = 57.9%, BF~10~ = 0.15",0.18,"[-0.62, 0.93]",0.677,0.579,0.15,12384.5,1
Laboratory and Cellular,Aged B cells,[PCOV NoV] x [Pathologies: Dyslipidemia (Yes)],"$\beta$ = 0.61, CI~95%~[-0.22, 1.41], pd = 92.5%, ps = 88.6%, BF~10~ = 0.42",0.61,"[-0.22, 1.41]",0.925,0.886,0.42,10840,1
Laboratory and Cellular,Aged B cells,[PCOV NoV] x [Pathologies: Hypertension (Yes)],"$\beta$ = -0.82, CI~95%~[-1.53, -0.09], pd = 98.5%, ps = 97.2%, BF~10~ = 1.28",-0.82,"[-1.53, -0.09]",0.985,0.972,1.28,11443.9,1
Laboratory and Cellular,Aged B cells,[PCOV NoV] x [Pathologies: Obesity (Yes)],"$\beta$ = 0.49, CI~95%~[-0.46, 1.44], pd = 84.3%, ps = 79.2%, BF~10~ = 0.27",0.49,"[-0.46, 1.44]",0.843,0.792,0.27,11068.7,1
Laboratory and Cellular,Aged B cells,[PCOV NoV] x [Sex: Female],"$\beta$ = 0.01, CI~95%~[-0.59, 0.56], pd = 51.5%, ps = 38.3%, BF~10~ = 0.1",0.01,"[-0.59, 0.56]",0.515,0.383,0.1,12986.6,1
