area,response,var,label,estimate,ci,pd,ps,bf,ess,rhat
Laboratory and Cellular,Aged B cells,[PCOV NoS] x [Fatigue scale],"$\beta$ = 0.28, CI~95%~[0.02, 0.55], pd = 98.1%, ps = 90.8%, BF~10~ = 0.36",0.28,"[0.02, 0.55]",0.981,0.908,0.36,13198.8,1.001
Laboratory and Cellular,Aged B cells,[PCOV NoS] x [Pathologies: Obesity (Yes)],"$\beta$ = 0.42, CI~95%~[-0.56, 1.4], pd = 80%, ps = 74.1%, BF~10~ = 0.24",0.42,"[-0.56, 1.4]",0.8,0.741,0.24,11211.8,1
Laboratory and Cellular,Aged B cells,[PCOV NoV] x [Age],"$\beta$ = 0.19, CI~95%~[-0.08, 0.46], pd = 91.9%, ps = 74.5%, BF~10~ = 0.12",0.19,"[-0.08, 0.46]",0.919,0.745,0.12,13949.8,1
Laboratory and Cellular,Aged B cells,[PCOV NoV] x [Fatigue scale],"$\beta$ = 0.23, CI~95%~[-0.06, 0.5], pd = 94.8%, ps = 82.2%, BF~10~ = 0.18",0.23,"[-0.06, 0.5]",0.948,0.822,0.18,13460.2,1
Laboratory and Cellular,Aged B cells,[PCOV NoV] x [Pathologies: Dyslipidemia (Yes)],"$\beta$ = 0.61, CI~95%~[-0.22, 1.41], pd = 92.5%, ps = 88.6%, BF~10~ = 0.42",0.61,"[-0.22, 1.41]",0.925,0.886,0.42,10840,1
Laboratory and Cellular,Aged B cells,[PCOV NoV] x [Pathologies: Hypertension (Yes)],"$\beta$ = -0.82, CI~95%~[-1.53, -0.09], pd = 98.5%, ps = 97.2%, BF~10~ = 1.28",-0.82,"[-1.53, -0.09]",0.985,0.972,1.28,11443.9,1
Laboratory and Cellular,Aged B cells,[PCOV NoV] x [Pathologies: Obesity (Yes)],"$\beta$ = 0.49, CI~95%~[-0.46, 1.44], pd = 84.3%, ps = 79.2%, BF~10~ = 0.27",0.49,"[-0.46, 1.44]",0.843,0.792,0.27,11068.7,1
Laboratory and Cellular,Aged B cells,[Pathologies: Diabetes (Yes)],"$\beta$ = 0.47, CI~95%~[-0.35, 1.26], pd = 87.9%, ps = 82%, BF~10~ = 0.27",0.47,"[-0.35, 1.26]",0.879,0.82,0.27,11666.8,1
Laboratory and Cellular,Aged B cells,[Pathologies: Obesity (Yes)],"$\beta$ = -0.88, CI~95%~[-1.9, 0.08], pd = 95.8%, ps = 94%, BF~10~ = 0.8",-0.88,"[-1.9, 0.08]",0.958,0.94,0.8,12174.7,1
Laboratory and Cellular,Albumin,[Age],"$\beta$ = -0.13, CI~95%~[-0.41, 0.15], pd = 81.9%, ps = 58.3%, BF~10~ = 0.07",-0.13,"[-0.41, 0.15]",0.819,0.583,0.07,9746,1
Laboratory and Cellular,Albumin,[Education level: Cubic],"$\beta$ = -0.94, CI~95%~[-3.06, 1.17], pd = 81.1%, ps = 78.3%, BF~10~ = 0.5",-0.94,"[-3.06, 1.17]",0.811,0.783,0.5,9031.6,1
